题目名,简单题目描述,难度,知识点,作者,慕码ID,题目文件夹
企业奖金发放,给定企业月利润，根据规则计算奖金,1,流程控制|数值运算,RUNOOB,2788/1533,BasicGrammar/Control/2_EnterpriseBonuses
水仙花数2,输出最近的水仙花数,2,流程控制|数值运算,RUNOOB,2788/1534,BasicGrammar/Control/13_Narcissus
爱因斯坦台阶问题,一道很简单的数(xun)学(huan)题,1,流程控制,MOOCTEST,2788/1537,BasicGrammar/Control/105_EinsteinStairs
一元人民币兑换方案,统计一元人民币换成一分、两分和五分的所有兑换方案个数,2,流程控制,MOOCTEST,2788/1544,BasicGrammar/Control/108_RMB
特殊的倍数,求一个数的仅有0和1构成的倍数,3,数值运算|类型转换,MOOCTEST,1673,BasicGrammar/Control/38_SpecMultiple
计算各位数字和的特征,计算有多少个数其各位数字和能被5整除,2,流程控制|数值运算,匿名,2788/1542,BasicGrammar/Control/103_SumEachNum 
累乘,计算 n!,1,数值运算|流程控制-循环,MOOCTEST,1707,BasicGrammar/Control/90_Multiplication
成绩等级判断,根据方案对成绩进行分级,2,流程控制|列表,MOOCTEST,2788/1538,BasicGrammar/Control/91_GradeLevel
简单排序,给三个数排序,1,流程控制-条件判断,RUNOOB,2788/1532,BasicGrammar/Control/5_SimpleSort
个税计算,根据个税表格计算月收入应缴税,2,数值运算|流程控制|条件判断,MOOCTEST,2788/1541,BasicGrammar/Control/88_TaxCalculation
闰年判断,判断一个年份是否为闰年,1,流程控制-条件判断|日期时间,MOOCTEST,2788/1531,BasicGrammar/Control/61_JudgeLeapYear
砝码问题,至少需要多少个砝码才能称出1到n克重的物品？,3,数学|流程控制,MOOCTEST,2788/1546,BasicGrammar/Control/22_Weight
算BMI值,根据BMI表格判断一个人的健康情况,1,流程控制|条件判断,MOOCTEST,2788/1536,BasicGrammar/Control/84_BMI
乘法口诀表,输出一个乘法口诀表,2,流程控制|字符串-格式化,RUNOOB,2788/1539,BasicGrammar/Control/8_Multiplication
试一试自定义类,设计一个学生类并实现打印方法,2,面向对象,MOOCTEST,1680,BasicGrammar/OOP/17_CustomizedClass
lambda函数,创建lambda匿名函数,2,函数-lambda|匿名函数,RUNOOB,2793/1563,BasicGrammar/Function/49_LambdaFunc
递推年龄,使用递归的思想求出年龄,1,函数-递归|流程控制-循环,RUNOOB,2793/1562,BasicGrammar/Function/28_RecurrenceAge
每个占一行,使用不定长参数实现每行输出一个参数,1,函数-参数传递,谢子聪,Unknown,BasicGrammar/Function/VarLengthParam
不可变的默认参数,修改默认参数，使得输出正确,1,函数-参数传递,谢子聪,Unknown,BasicGrammar/Function/decorator
整数简单四则运算,简单的四则运算,1,数值运算|字符串-格式化,MOOCTEST,2786/1522,BasicGrammar/Number/72_SimpleArithmetic
